idx,scheduled_t_rel_s,t_rel_s,latency_s,status,ttft_s,avg_tbt_s,worst_tbt_s,tokens_received,gen_chars,saw_done,finish_reason
172,15.087,15.08748509399993,1.664761592999639,ok,0.05947019499944872,0.020319849696211867,0.028002529999866965,80,594,True,length
173,15.187999999999999,15.189008700999693,1.6683975500000088,ok,0.06141096200008178,0.020341028240515778,0.028234520999831147,80,591,True,length
174,15.202000000000002,15.202983152999877,1.6769439760009845,ok,0.06395273599991924,0.0204172686582429,0.028271730001506512,80,404,True,length
175,15.216999999999999,15.217774022999947,1.662232586000755,ok,0.04918535600154428,0.02041812737974673,0.028277215000343858,80,360,True,length
176,15.245000000000001,15.245369018999554,1.6776043209993077,ok,0.06754478599941649,0.020380185569638918,0.028576241000337177,80,480,True,length
177,15.274000000000001,15.274317254999914,1.667955212000379,ok,0.055911158000526484,0.020405333265812318,0.028000120999422506,80,410,True,length
178,15.332,15.333071326000209,1.6686199300002045,ok,0.06217260300036287,0.02033444912657488,0.028002048999042017,80,312,True,length
179,15.361,15.361455402999127,1.661217717000909,ok,0.05058498300059,0.020387434088603832,0.02800000900060695,80,417,True,length
180,15.448,15.448300906999066,1.6733156939990295,ok,0.05752662699887878,0.02045269958228035,0.02800212199872476,80,408,True,length
181,15.489999999999998,15.49044177900032,1.6741512560001865,ok,0.062444694000078016,0.020401053822786685,0.028002000000924454,80,402,True,length
182,15.504999999999999,15.506633932998739,1.6804943360002653,ok,0.06956847899891727,0.02039128311392958,0.0282756030010205,80,586,True,length
183,15.518999999999998,15.519276584000181,1.6676025110009505,ok,0.056710016000579344,0.020390763075957243,0.028001327998936176,80,438,True,length
184,15.533000000000001,15.5337143809993,1.6758227620011894,ok,0.05954018100055691,0.02045900465821467,0.027857622000738047,80,432,True,length
185,15.663,15.663265932998911,1.69415240699891,ok,0.06409596299999976,0.020633248088599912,0.027997568000500905,80,591,True,length
186,15.692,15.692640485000084,1.692415503999655,ok,0.06019985899911262,0.020660653696204807,0.027856500000780215,80,415,True,length
187,15.706,15.706845146998603,1.699855815999399,ok,0.059991332000208786,0.02075746018985965,0.028005029000269133,80,480,True,length
188,15.75,15.75290766299986,1.6912763770014863,ok,0.058064477001607884,0.020673261911379318,0.028004583000438288,80,368,True,length
189,15.806999999999999,15.807795235999947,1.70893864899881,ok,0.06335896999917168,0.0208297907848197,0.027944172001298284,80,423,True,length
190,15.850999999999999,15.85202604999904,1.7000216739997995,ok,0.06384380599956785,0.020710731392406343,0.027457628999400185,80,404,True,length
191,15.864999999999998,15.86524870500034,1.709638960999655,ok,0.07520040499912284,0.020688782772146013,0.027453720000266912,80,480,True,length
192,15.893999999999998,15.895764602999407,1.6999534040005528,ok,0.06700028600062069,0.02066997944304511,0.02799303199935821,80,410,True,length
193,15.908999999999999,15.910680134998984,1.708601689999341,ok,0.0688472849997197,0.020756032101278927,0.027580063999266713,80,604,True,length
194,15.922999999999998,15.923816372998772,1.6955906279999908,ok,0.05579663399839774,0.02075667807596951,0.027945449999606353,80,368,True,length
